Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
18.101.8.10-192.168.8.100-443-56078-6,18.101.8.10,443,192.168.8.100,56078,6,12/06/2026 06:34:23 PM,37007487,3,3,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,0.6485174202722817,0.1621293550680704,7401497.4,1.255267803013916E7,2.8981599E7,19.0,8025863.0,4012931.5,5661246.08971033,8016037.0,9826.0,3.7007468E7,1.8503734E7,1.481793878771437E7,2.8981599E7,8025869.0,0,0,0,0,60,60,0.0810646775340352,0.0810646775340352,0.0,24.0,3.428571428571429,9.071147352221454,82.28571428571429,2,0,0,1,6,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,1,12,1,0,19,1024,1,20,4935.0,6952.273872626135,9851.0,19.0,1.84988085E7,1.4824904496615838E7,2.8981599E7,8016018.0,NeedManualLabel
18.101.8.10-192.168.8.100-443-56079-6,18.101.8.10,443,192.168.8.100,56079,6,12/06/2026 06:34:23 PM,36940544,3,3,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,0.6496926520627309,0.16242316301568271,7388108.8,1.2540421035594845E7,2.8951512E7,18.0,7988970.0,3994485.0,5645158.703331554,7986215.0,2755.0,3.6940526E7,1.8470263E7,1.482272448640944E7,2.8951512E7,7989014.0,0,0,0,0,60,60,0.08121158150784136,0.08121158150784136,0.0,24.0,3.428571428571429,9.071147352221454,82.28571428571429,2,0,0,1,6,0,0,0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,1,12,1,0,14,1024,1,20,1417.5,1979.1918805411465,2817.0,18.0,1.84688545E7,1.4824716406212043E7,2.8951512E7,7986197.0,NeedManualLabel
192.168.8.100-91.198.51.137-56134-443-6,192.168.8.100,56134,91.198.51.137,443,6,12/06/2026 06:35:08 PM,336988,3,4,203.0,7.0,203.0,0.0,67.66666666666667,117.20210464549403,7.0,0.0,1.75,3.5000000000000004,623.1675905373485,20.772253017911616,56164.66666666667,85744.54806847294,178003.0,0.0,178338.0,89169.0,125815.5095765224,178134.0,204.0,158985.0,52995.0,88546.03870868533,155216.0,0.0,0,0,0,0,72,92,8.90239415053355,11.869858867378067,0.0,203.0,26.250000000000004,71.45977889694313,5106.5,1,2,0,2,6,0,0,0,1.0,30.0,67.66666666666667,1.75,0,0,0,0,0,0,0,0,0,0,64240,501,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.8.100-91.198.51.137-56136-443-6,192.168.8.100,56136,91.198.51.137,443,6,12/06/2026 06:35:10 PM,320869,3,4,203.0,7.0,203.0,0.0,67.66666666666667,117.20210464549403,7.0,0.0,1.75,3.5000000000000004,654.4726975806326,21.815756586021084,53478.16666666667,80542.66563857112,161893.0,1.0,152970.0,76485.0,108034.60245680547,152877.0,93.0,168063.0,56021.0,91878.92563586059,162057.0,1.0,0,0,0,0,72,92,9.349609965437608,12.466146620583478,0.0,203.0,26.250000000000004,71.45977889694313,5106.5,1,2,0,2,6,0,0,0,1.0,30.0,67.66666666666667,1.75,0,0,0,0,0,0,0,0,0,0,64240,501,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.8.100-91.198.51.137-56139-443-6,192.168.8.100,56139,91.198.51.137,443,6,12/06/2026 06:35:11 PM,476759,4,5,203.0,7.0,203.0,0.0,50.75,101.5,7.0,0.0,1.4,3.1304951684997055,440.47411795057883,18.87746219788195,59594.875,111140.13606567353,264642.0,0.0,476679.0,158893.0,140050.2269651856,264685.0,72.0,212117.0,53029.25,105896.56119495413,211874.0,0.0,0,0,0,0,92,112,8.389983199058644,10.487478998823304,0.0,203.0,21.0,63.98610960374308,4094.222222222222,2,2,0,2,8,0,0,0,1.0,23.333333333333332,50.75,1.4,0,0,0,0,0,0,0,0,0,0,64240,501,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
4.203.73.113-192.168.8.100-443-55992-6,4.203.73.113,443,192.168.8.100,55992,6,12/06/2026 06:35:13 PM,437,2,3,77.0,0.0,46.0,31.0,38.5,10.606601717798213,0.0,0.0,0.0,0.0,176201.37299771167,11441.647597254005,109.25,160.57474894889296,349.0,13.0,374.0,374.0,0.0,374.0,374.0,412.0,206.0,220.61731573020282,362.0,50.0,1,0,0,0,40,60,4576.659038901602,6864.988558352403,0.0,46.0,20.5,23.11493023999856,534.3,2,0,0,2,5,0,0,0,1.0,24.6,38.5,0.0,0,0,0,0,0,0,0,0,0,0,63,1022,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
4.203.73.113-192.168.8.100-443-55990-6,4.203.73.113,443,192.168.8.100,55990,6,12/06/2026 06:35:13 PM,370,2,3,77.0,0.0,46.0,31.0,38.5,10.606601717798213,0.0,0.0,0.0,0.0,208108.1081081081,13513.513513513513,92.5,123.6567830731497,275.0,10.0,337.0,337.0,0.0,337.0,337.0,308.0,154.0,185.26197667087544,285.0,23.0,1,0,0,0,40,60,5405.405405405406,8108.108108108108,0.0,46.0,20.5,23.11493023999856,534.3,2,0,0,2,5,0,0,0,1.0,24.6,38.5,0.0,0,0,0,0,0,0,0,0,0,0,56,1019,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
104.18.13.97-192.168.8.100-443-54910-6,104.18.13.97,443,192.168.8.100,54910,6,12/06/2026 06:34:33 PM,50045506,6,3,78.0,90.0,26.0,0.0,13.0,14.24078649513432,30.0,30.0,30.0,0.0,3.356944777419175,0.17983632736174152,6255688.250000001,1.1541085504130384E7,2.495451E7,301.0,5.0045506E7,1.00091012E7,1.3643086361230666E7,2.495451E7,44895.0,4.9999627E7,2.49998135E7,706.399674405361,2.5000313E7,2.4999314E7,1,0,0,0,120,60,0.11989088490782768,0.05994544245391384,0.0,30.0,19.400000000000002,13.50061726983869,182.26666666666668,0,0,0,6,9,0,0,0,0.0,21.555555555555557,13.0,30.0,0,0,0,0,0,0,3,39,1,45,16,1026,2,20,45460.0,799.0306627407987,46025.0,44895.0,2.49543535E7,221.32442251138937,2.495451E7,2.4954197E7,NeedManualLabel
192.168.8.100-172.217.192.132-52097-443-17,192.168.8.100,52097,172.217.192.132,443,17,12/06/2026 06:35:29 PM,1395848,67,106,7644.0,101752.0,1250.0,30.0,114.08955223880596,255.762717409053,1250.0,22.0,959.9245283018868,501.38149524447437,78372.43023595693,123.93899622308446,8115.39534883721,24878.67310012538,248823.0,0.0,973385.0,14748.257575757578,22423.68123919998,115271.0,22.0,1342706.0,12787.676190476188,33073.75451649262,248823.0,0.0,0,0,0,0,536,848,47.99949564709051,75.93950057599395,22.0,1250.0,635.8965517241384,591.178162058105,349491.6192943991,0,0,0,0,0,0,0,0,1.0,639.5722543352601,114.08955223880596,959.9245283018868,0,0,0,109396,173,78372,0,0,0,0,0,0,66,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.8.100-34.111.222.254-56211-443-17,192.168.8.100,56211,34.111.222.254,443,17,12/06/2026 06:34:34 PM,970578,10,13,4561.0,7747.0,1250.0,31.0,456.09999999999997,572.6828577455026,1250.0,22.0,595.9230769230769,562.5856174157645,12681.103424969451,23.697219594921787,44117.18181818182,159879.22989397083,753505.0,0.0,899729.0,99969.88888888889,246353.31966631,753729.0,26.0,915993.0,76332.75,225199.51785558148,787278.0,0.0,0,0,0,0,80,104,10.303138954313821,13.394080640607967,22.0,1250.0,564.9166666666665,565.2998370750705,319563.9057971013,0,0,0,0,0,0,0,0,1.0,589.4782608695652,456.1,595.9230769230769,0,0,0,12308,23,12681,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,NeedManualLabel
